,genome_id,source,organism,domain,phylum,class,order,family,genus,species,strain,closest_placement_reference
GCA_013140715.1,GCA_013140715.1,ncbi,Palsa-1315 sp013140715,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Palsa-1315,sp013140715,,
GCA_013817135.1,GCA_013817135.1,ncbi,UBA8639 sp013817135,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,UBA8639,UBA8639,sp013817135,,
GCA_012270585.1,GCA_012270585.1,ncbi,Bin75 sp012270585,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,UBA8639,Bin75,sp012270585,,
GCA_003453735.1,GCA_003453735.1,ncbi,UBA9159 sp003453735,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,UBA9159,UBA9159,sp003453735,,
GCA_002869895.2,GCA_002869895.2,ncbi,Palsa-1315 sp002869895,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Palsa-1315,sp002869895,,
GCA_003523945.1,GCA_003523945.1,ncbi,UBA8639 sp003523945,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,UBA8639,UBA8639,sp003523945,,
GCA_001464735.1,GCA_001464735.1,ncbi,Nitrospira_F sp001464735,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_F,sp001464735,,
GCA_005800255.1,GCA_005800255.1,ncbi,Palsa-1315 sp005800255,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Palsa-1315,sp005800255,,
GCA_900696505.1,GCA_900696505.1,ncbi,Nitrospira_A sp900696505,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_A,sp900696505,,
GCA_004321925.1,GCA_004321925.1,ncbi,PALSA-1316 sp004321925,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,UBA6898,PALSA-1316,sp004321925,,
GCA_001803875.1,GCA_001803875.1,ncbi,2-01-FULL-66-17 sp001803875,Bacteria,Nitrospirota,Nitrospiria,SBBL01,2-01-FULL-66-17,2-01-FULL-66-17,sp001803875,,
GCA_002011735.1,GCA_002011735.1,ncbi,JdFR-81 sp002011735,Bacteria,Nitrospirota,Thermodesulfovibrionia,UBA6902,JdFR-81,JdFR-81,sp002011735,,
GCA_001803645.1,GCA_001803645.1,ncbi,GWC2-42-7 sp001803645,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,UBA6898,GWC2-42-7,sp001803645,,
GCA_002083565.1,GCA_002083565.1,ncbi,Nitrospira_F sp002083565,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_F,sp002083565,,
GCA_003228495.1,GCA_003228495.1,ncbi,UBA8639 sp003228495,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,UBA8639,UBA8639,sp003228495,,
GCA_002420105.1,GCA_002420105.1,ncbi,Nitrospira_C sp002420105,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_C,sp002420105,,
GCA_009885705.1,GCA_009885705.1,ncbi,Palsa-1315 sp009885705,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Palsa-1315,sp009885705,,
GCA_013152485.1,GCA_013152485.1,ncbi,BMS3Bbin07 sp013152485,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,JdFR-85,BMS3Bbin07,sp013152485,,
